English,Arabic,Categories,Frequency
amounts,,Reading Comprehension,1
amplify,,Vocabulary,1
analyze,,Grammar,1
analyzed,,Grammar,1
anecdote,,Reading Comprehension,1
angry,,Vocabulary,1
animal,,Vocabulary,1
animals,,Vocabulary,1
announce,,Grammar,1
annoyed,,Vocabulary,1
anonymity,,IT & Technology,1
anonymization,,IT & Technology,1
ansible,,IT & Technology,1
answer,,Grammar,1
antonyms,,Vocabulary,1
anxiety,,Vocabulary,1
anxious,,Reading Comprehension,1
apis,,IT & Technology,1
apologize,,Reading Comprehension,1
appealing,,IT & Technology,1
apply,,Grammar,1
approval,,Vocabulary,1
archaic,,Vocabulary,1
area,,Reading Comprehension,1
areas,,Vocabulary,1
aren,,Grammar,1
arrange,,Vocabulary,1
arrival,,Reading Comprehension,1
asked,,Vocabulary,1
asks,,Reading Comprehension,1
assertion,,Reading Comprehension,1
assign,,IT & Technology,1
assigned,,IT & Technology,1
assumption,,Reading Comprehension,1
assure,,Vocabulary,1
atm,,Vocabulary,1
attached,,Vocabulary,1
attacker,,IT & Technology,1
attention,,Reading Comprehension,1
attract,,Vocabulary,1
automatic,,IT & Technology,1
autonomy,,Reading Comprehension,1
average,,Vocabulary,1
avoided,,Grammar,1
avoiding,,Grammar,1
award,,Grammar,1
awareness,,IT & Technology,1
baby,,Grammar,1
backing,,Grammar,1
bag,,Grammar,1
balance,,Reading Comprehension,1
barely,,Grammar,1
bathroom,,Vocabulary,1
battle,,Reading Comprehension,1
becomes,,Grammar,1
beliefs,,Reading Comprehension,1
believes,,Reading Comprehension,1
beta,,Grammar,1
bias,,Reading Comprehension,1
biggest,,Reading Comprehension,1
bin,,IT & Technology,1
bird,,Vocabulary,1
blame,,Reading Comprehension,1
blatant,,Reading Comprehension,1
blessing,,Vocabulary,1
bloat,,Reading Comprehension,1
blueprint,,IT & Technology,1
bluetooth,,IT & Technology,1
blurred,,Reading Comprehension,1
blurs,,Reading Comprehension,1
bold,,Reading Comprehension,1
bookmark,,IT & Technology,1
bored,,Vocabulary,1
boring,,Vocabulary,1
borrow,,Grammar,1
boss,,IT & Technology,1
branch,,IT & Technology,1
branches,,IT & Technology,1
brand,,Vocabulary,1
breached,,IT & Technology,1
breaches,,Vocabulary,1
breakthroughs,,Reading Comprehension,1
briefly,,IT & Technology,1
bright,,Grammar,1
brings,,IT & Technology,1
broadcast,,IT & Technology,1
broke,,Grammar,1
brothers,,Grammar,1
brought,,Vocabulary,1
brown,,Reading Comprehension,1
bulkhead,,IT & Technology,1
burn,,Vocabulary,1
buttons,,IT & Technology,1
buys,,Grammar,1
buzzword,,Reading Comprehension,1
cables,,IT & Technology,1
canceled,,Reading Comprehension,1
carbon,,Reading Comprehension,1
card,,IT & Technology,1
care,,Reading Comprehension,1
casts,,Reading Comprehension,1
caught,,IT & Technology,1
cautionary,,Reading Comprehension,1
cautious,,Reading Comprehension,1
caveat,,Reading Comprehension,1
centralized,,IT & Technology,1
certain,,Grammar,1
certification,,Grammar,1
chair,,Grammar,1
chairs,,Vocabulary,1
challenge,,Reading Comprehension,1
channels,,Vocabulary,1
characterized,,Reading Comprehension,1
charts,,Reading Comprehension,1
cheapest,,Vocabulary,1
checks,,Grammar,1
cheese,,Vocabulary,1
childrens,,Grammar,1
childs,,Grammar,1
choice,,IT & Technology,1
choices,,Vocabulary,1
choose,,Vocabulary,1
chrome,,IT & Technology,1
cigarettes,,Reading Comprehension,1
circumstantial,,Reading Comprehension,1
cities,,Grammar,1
claimed,,Reading Comprehension,1
clarification,,Reading Comprehension,1
classroom,,Vocabulary,1
clearance,,Grammar,1
clich,,Reading Comprehension,1
clicked,,IT & Technology,1
clients,,Vocabulary,1
clipboard,,IT & Technology,1
clustering,,IT & Technology,1
coherent,,Vocabulary,1
collaboration,,Grammar,1
comedic,,Reading Comprehension,1
command,,Grammar,1
commands,,Grammar,1
committed,,Grammar,1
commonly,,IT & Technology,1
communications,,IT & Technology,1
comparative,,Grammar,1
comparatives,,Grammar,1
compatibility,,Vocabulary,1
compete,,Vocabulary,1
competencies,,Vocabulary,1
compilations,,IT & Technology,1
compiling,,IT & Technology,1
composed,,IT & Technology,1
composite,,IT & Technology,1
compound,,IT & Technology,1
computation,,IT & Technology,1
conceive,,Vocabulary,1
conditions,,Vocabulary,1
conduct,,IT & Technology,1
conference,,IT & Technology,1
confirms,,Grammar,1
consists,,Vocabulary,1
consolidate,,IT & Technology,1
consonant,,Grammar,1
construction,,Grammar,1
consuming,,Vocabulary,1
contain,,IT & Technology,1
contained,,Vocabulary,1
contentious,,Reading Comprehension,1
contextually,,IT & Technology,1
continued,,Reading Comprehension,1
continues,,Grammar,1
contract,,Vocabulary,1
contraction,,IT & Technology,1
contractors,,Grammar,1
conversation,,Vocabulary,1
copies,,IT & Technology,1
corporations,,Reading Comprehension,1
corroborate,,Vocabulary,1
count,,IT & Technology,1
counter,,Reading Comprehension,1
countries,,Vocabulary,1
country,,Vocabulary,1
coupled,,IT & Technology,1
crashes,,Reading Comprehension,1
creep,,IT & Technology,1
cries,,Grammar,1
critically,,Reading Comprehension,1
cry,,Grammar,1
cryptocurrency,,IT & Technology,1
cultural,,Reading Comprehension,1
curation,,Reading Comprehension,1
currently,,IT & Technology,1
cuts,,Vocabulary,1
damage,,Reading Comprehension,1
damaged,,Reading Comprehension,1
danger,,Reading Comprehension,1
dangers,,Reading Comprehension,1
darted,,Grammar,1
dates,,Grammar,1
december,,Vocabulary,1
decommission,,IT & Technology,1
deconstruct,,Reading Comprehension,1
deconstructing,,Reading Comprehension,1
decreased,,Reading Comprehension,1
decrypt,,IT & Technology,1
dedication,,Reading Comprehension,1
deep,,Reading Comprehension,1
deeply,,Reading Comprehension,1
defenses,,IT & Technology,1
definitely,,Reading Comprehension,1
definition,,IT & Technology,1
degrade,,IT & Technology,1
degree,,Reading Comprehension,1
deletes,,Reading Comprehension,1
deliberately,,Reading Comprehension,1
deliver,,Vocabulary,1
delivered,,Grammar,1
delivers,,Grammar,1
demands,,IT & Technology,1
demo,,Vocabulary,1
democracy,,Reading Comprehension,1
demographics,,Vocabulary,1
demonstratives,,Grammar,1
denial,,IT & Technology,1
departments,,Grammar,1
dependencies,,IT & Technology,1
deploys,,Grammar,1
deprecate,,IT & Technology,1
deprecating,,IT & Technology,1
depreciate,,IT & Technology,1
descriptive,,Vocabulary,1
designs,,Vocabulary,1
desire,,Grammar,1
desktop,,IT & Technology,1
destruction,,IT & Technology,1
detailing,,Reading Comprehension,1
detect,,IT & Technology,1
detected,,Grammar,1
diagnostics,,Grammar,1
dilemmas,,Reading Comprehension,1
disabled,,Reading Comprehension,1
disadvantage,,Reading Comprehension,1
disagreement,,Reading Comprehension,1
disagreements,,Reading Comprehension,1
disappointed,,Reading Comprehension,1
discussed,,Reading Comprehension,1
disguise,,Vocabulary,1
disguising,,IT & Technology,1
dismissive,,Reading Comprehension,1
disorganized,,Reading Comprehension,1
display,,IT & Technology,1
displays,,IT & Technology,1
disregard,,Reading Comprehension,1
distinct,,Reading Comprehension,1
distribute,,IT & Technology,1
distribution,,IT & Technology,1
disturb,,IT & Technology,1
documented,,Grammar,1
documents,,IT & Technology,1
domains,,Reading Comprehension,1
dominate,,Vocabulary,1
doubts,,Reading Comprehension,1
downloaded,,IT & Technology,1
downplay,,Reading Comprehension,1
downstream,,IT & Technology,1
downturn,,Vocabulary,1
drastically,,IT & Technology,1
drawbacks,,Reading Comprehension,1
drugstore,,Vocabulary,1
ears,,IT & Technology,1
easiest,,Vocabulary,1
eats,,Reading Comprehension,1
eco,,Vocabulary,1
economically,,Reading Comprehension,1
edged,,Vocabulary,1
effectively,,Reading Comprehension,1
electronic,,IT & Technology,1
elementary,,Vocabulary,1
eliminate,,Reading Comprehension,1
eliminated,,Reading Comprehension,1
eliminating,,IT & Technology,1
emerging,,IT & Technology,1
emissions,,Reading Comprehension,1
emphasizing,,Grammar,1
enabled,,Reading Comprehension,1
encouraged,,IT & Technology,1
encrypting,,IT & Technology,1
encrypts,,IT & Technology,1
energy,,Vocabulary,1
enforced,,Grammar,1
engendered,,Reading Comprehension,1
enhances,,Vocabulary,1
enough,,Grammar,1
ensured,,Reading Comprehension,1
entertain,,Reading Comprehension,1
enthusiasm,,Vocabulary,1
enthusiasts,,Reading Comprehension,1
entity,,IT & Technology,1
environmentally,,Reading Comprehension,1
erosion,,Reading Comprehension,1
ethical,,Reading Comprehension,1
european,,Vocabulary,1
evening,,Grammar,1
everyday,,Vocabulary,1
everyone,,Vocabulary,1
everything,,Grammar,1
exaggerate,,Reading Comprehension,1
exaggerated,,Reading Comprehension,1
examine,,Vocabulary,1
exceed,,Vocabulary,1
exceeds,,Reading Comprehension,1
excel,,Reading Comprehension,1
excellent,,Reading Comprehension,1
exceptionally,,IT & Technology,1
excuse,,Vocabulary,1
executes,,IT & Technology,1
exempt,,Reading Comprehension,1
exhausted,,Grammar,1
exist,,Grammar,1
existence,,Grammar,1
exists,,Grammar,1
expand,,Vocabulary,1
expansion,,Grammar,1
expect,,Reading Comprehension,1
expectation,,Vocabulary,1
expecting,,Vocabulary,1
expenses,,Vocabulary,1
experiences,,Reading Comprehension,1
experiment,,Vocabulary,1
expert,,Vocabulary,1
experts,,Grammar,1
explains,,IT & Technology,1
explanation,,Vocabulary,1
exploratory,,IT & Technology,1
expresses,,IT & Technology,1
expressing,,Grammar,1
expression,,Vocabulary,1
extensive,,Reading Comprehension,1
extent,,IT & Technology,1
eye,,Grammar,1
fabricated,,Reading Comprehension,1
face,,Reading Comprehension,1
factors,,IT & Technology,1
failed,,Reading Comprehension,1
fails,,IT & Technology,1
fake,,IT & Technology,1
fall,,Vocabulary,1
fallback,,IT & Technology,1
fallible,,Reading Comprehension,1
fanciful,,Vocabulary,1
farmer,,Vocabulary,1
fashioned,,Vocabulary,1
fastest,,Grammar,1
favored,,IT & Technology,1
fearful,,Reading Comprehension,1
fed,,Reading Comprehension,1
feeds,,Reading Comprehension,1
fell,,IT & Technology,1
felt,,Grammar,1
female,,Grammar,1
finance,,Vocabulary,1
flat,,Vocabulary,1
flexible,,Reading Comprehension,1
flies,,Vocabulary,1
fluent,,Vocabulary,1
fly,,Vocabulary,1
focusing,,IT & Technology,1
fog,,IT & Technology,1
foods,,Vocabulary,1
foot,,Vocabulary,1
forbidden,,Reading Comprehension,1
forcing,,Vocabulary,1
foreign,,IT & Technology,1
forms,,Grammar,1
forward,,Reading Comprehension,1
fostering,,IT & Technology,1
four,,IT & Technology,1
fragmenting,,IT & Technology,1
freely,,IT & Technology,1
freezing,,IT & Technology,1
fresh,,Grammar,1
friction,,Reading Comprehension,1
friends,,Grammar,1
ftp,,IT & Technology,1
fulfilled,,Grammar,1
functions,,IT & Technology,1
fundamentals,,IT & Technology,1
furniture,,Vocabulary,1
game,,IT & Technology,1
gather,,IT & Technology,1
gave,,Vocabulary,1
generated,,IT & Technology,1
genuine,,Reading Comprehension,1
geographically,,Grammar,1
giants,,Vocabulary,1
gives,,Vocabulary,1
glaring,,Reading Comprehension,1
glass,,Vocabulary,1
gloves,,Vocabulary,1
goal,,Vocabulary,1
goals,,Vocabulary,1
gone,,Grammar,1
governance,,IT & Technology,1
gracefully,,IT & Technology,1
graphic,,Grammar,1
graphics,,IT & Technology,1
grasp,,Reading Comprehension,1
grid,,IT & Technology,1
groups,,Vocabulary,1
guard,,IT & Technology,1
guest,,Reading Comprehension,1
habit,,Grammar,1
hackneyed,,Reading Comprehension,1
hadn,,Grammar,1
handles,,Grammar,1
hardness,,Reading Comprehension,1
hasn,,IT & Technology,1
hat,,Vocabulary,1
haven,,Grammar,1
hdd,,IT & Technology,1
hdds,,IT & Technology,1
healthy,,Reading Comprehension,1
hear,,IT & Technology,1
heat,,Grammar,1
helmet,,Grammar,1
helpdesk,,IT & Technology,1
helps,,IT & Technology,1
hesitation,,Grammar,1
hidden,,Reading Comprehension,1
highlights,,Reading Comprehension,1
historic,,Vocabulary,1
hit,,Vocabulary,1
hobbies,,Vocabulary,1
holds,,IT & Technology,1
hole,,Vocabulary,1
homework,,Reading Comprehension,1
hope,,Vocabulary,1
hostile,,Reading Comprehension,1
hunger,,Vocabulary,1
hurdle,,Reading Comprehension,1
hurts,,Vocabulary,1
hype,,Reading Comprehension,1
hyperbole,,Reading Comprehension,1
ice,,Vocabulary,1
icon,,IT & Technology,1
ideas,,Grammar,1
identifier,,IT & Technology,1
idiom,,Vocabulary,1
image,,IT & Technology,1
immune,,IT & Technology,1
impartiality,,Grammar,1
impediments,,IT & Technology,1
impervious,,Reading Comprehension,1
implication,,Reading Comprehension,1
implicit,,Reading Comprehension,1
importance,,Grammar,1
incapable,,Reading Comprehension,1
incident,,Grammar,1
including,,IT & Technology,1
incoming,,IT & Technology,1
incorrect,,IT & Technology,1
increase,,IT & Technology,1
indefinite,,Grammar,1
indicator,,Grammar,1
individuals,,Reading Comprehension,1
indoors,,Reading Comprehension,1
industrial,,Reading Comprehension,1
ineffective,,Reading Comprehension,1
inevitably,,Vocabulary,1
infallible,,Reading Comprehension,1
informing,,Reading Comprehension,1
initiative,,Vocabulary,1
injection,,IT & Technology,1
innovating,,Reading Comprehension,1
insights,,Reading Comprehension,1
installer,,Vocabulary,1
institutional,,Reading Comprehension,1
insure,,Vocabulary,1
intelligence,,Reading Comprehension,1
intention,,Grammar,1
intentionally,,Reading Comprehension,1
interactions,,IT & Technology,1
interacts,,IT & Technology,1
intercepts,,IT & Technology,1
interest,,Vocabulary,1
introductions,,Grammar,1
introductory,,IT & Technology,1
invasive,,Reading Comprehension,1
investigate,,Vocabulary,1
investigation,,Vocabulary,1
investment,,Vocabulary,1
invite,,Reading Comprehension,1
invoice,,Vocabulary,1
involving,,Vocabulary,1
irreparably,,Reading Comprehension,1
issued,,Grammar,1
issuing,,Grammar,1
jackets,,Vocabulary,1
january,,Vocabulary,1
job,,Vocabulary,1
jointly,,Vocabulary,1
jubilant,,Reading Comprehension,1
judgmental,,Reading Comprehension,1
juice,,Vocabulary,1
justifiable,,Reading Comprehension,1
juxtaposing,,Reading Comprehension,1
juxtaposition,,Reading Comprehension,1
kaizen,,IT & Technology,1
kept,,IT & Technology,1
keyboards,,IT & Technology,1
kitchen,,Vocabulary,1
knowing,,Grammar,1
label,,IT & Technology,1
lacked,,IT & Technology,1
laptops,,Vocabulary,1
lasts,,Vocabulary,1
launched,,Grammar,1
lazy,,Reading Comprehension,1
leap,,Reading Comprehension,1
learns,,IT & Technology,1
leaves,,Vocabulary,1
ledger,,Reading Comprehension,1
leveling,,IT & Technology,1
leverages,,Reading Comprehension,1
liberate,,Reading Comprehension,1
lifespan,,Vocabulary,1
limited,,Reading Comprehension,1
lines,,IT & Technology,1
linking,,IT & Technology,1
list,,Reading Comprehension,1
listed,,Vocabulary,1
located,,Vocabulary,1
logging,,IT & Technology,1
logically,,Vocabulary,1
loosely,,IT & Technology,1
loses,,IT & Technology,1
lost,,Reading Comprehension,1
loud,,Grammar,1
love,,Grammar,1
lying,,Reading Comprehension,1
mac,,IT & Technology,1
manageable,,Reading Comprehension,1
manages,,IT & Technology,1
manner,,IT & Technology,1
manually,,Grammar,1
match,,Grammar,1
materials,,Vocabulary,1
mathematics,,Reading Comprehension,1
matter,,Grammar,1
maximize,,IT & Technology,1
maximizing,,IT & Technology,1
measure,,IT & Technology,1
measurement,,Vocabulary,1
measurements,,Vocabulary,1
measures,,IT & Technology,1
mechanics,,Reading Comprehension,1
memorized,,IT & Technology,1
mental,,Reading Comprehension,1
mention,,Vocabulary,1
merge,,IT & Technology,1
mergers,,Vocabulary,1
mice,,IT & Technology,1
midnight,,Vocabulary,1
migrated,,IT & Technology,1
migrations,,IT & Technology,1
milestone,,IT & Technology,1
mine,,Grammar,1
minimization,,IT & Technology,1
misconfigured,,Grammar,1
mistaken,,Vocabulary,1
mit,,IT & Technology,1
module,,Reading Comprehension,1
mom,,Reading Comprehension,1
monetize,,Vocabulary,1
morale,,Vocabulary,1
mortem,,Reading Comprehension,1
motivated,,Vocabulary,1
motivating,,Vocabulary,1
movie,,Grammar,1
museum,,Reading Comprehension,1
music,,IT & Technology,1
navigating,,Vocabulary,1
navigation,,IT & Technology,1
nearest,,Vocabulary,1
nearly,,Vocabulary,1
neatly,,IT & Technology,1
needed,,Reading Comprehension,1
negation,,Reading Comprehension,1
negatively,,IT & Technology,1
negligible,,Vocabulary,1
negotiation,,Vocabulary,1
netflix,,Vocabulary,1
neutral,,Vocabulary,1
neutrality,,Reading Comprehension,1
newly,,Reading Comprehension,1
niece,,Vocabulary,1
nonfunctional,,IT & Technology,1
normalize,,IT & Technology,1
normalizing,,IT & Technology,1
notebook,,Vocabulary,1
notes,,Reading Comprehension,1
noticeable,,IT & Technology,1
notify,,Grammar,1
null,,IT & Technology,1
numerical,,IT & Technology,1
numerous,,Grammar,1
objectively,,Reading Comprehension,1
obviating,,IT & Technology,1
occur,,Reading Comprehension,1
offices,,Reading Comprehension,1
official,,Vocabulary,1
offline,,Reading Comprehension,1
oil,,Vocabulary,1
older,,Vocabulary,1
onto,,Reading Comprehension,1
opaque,,Reading Comprehension,1
opens,,Grammar,1
opinion,,Reading Comprehension,1
opportunities,,Vocabulary,1
opposition,,Reading Comprehension,1
optimization,,Grammar,1
optimize,,IT & Technology,1
optimized,,IT & Technology,1
optimizes,,IT & Technology,1
orchestrating,,IT & Technology,1
outdoor,,Reading Comprehension,1
overview,,Vocabulary,1
overwhelmingly,,Reading Comprehension,1
ownership,,Grammar,1
paced,,Vocabulary,1
package,,Vocabulary,1
packed,,Reading Comprehension,1
pages,,IT & Technology,1
painful,,Vocabulary,1
paired,,Grammar,1
palettes,,Vocabulary,1
passed,,Vocabulary,1
passing,,Vocabulary,1
patched,,Grammar,1
paths,,IT & Technology,1
pdf,,IT & Technology,1
perceive,,Vocabulary,1
perform,,IT & Technology,1
performed,,Grammar,1
permanent,,IT & Technology,1
permanently,,Reading Comprehension,1
perpetual,,Vocabulary,1
personalized,,Reading Comprehension,1
perspective,,Grammar,1
perspectives,,Reading Comprehension,1
persuasive,,Vocabulary,1
philosophical,,Reading Comprehension,1
philosophy,,Reading Comprehension,1
phonees,,Grammar,1
phonies,,Grammar,1
photo,,IT & Technology,1
picture,,IT & Technology,1
pictures,,IT & Technology,1
ping,,IT & Technology,1
plagued,,Reading Comprehension,1
planned,,Grammar,1
plate,,Vocabulary,1
platitude,,Reading Comprehension,1
plausible,,Vocabulary,1
police,,Reading Comprehension,1
policies,,IT & Technology,1
politely,,Grammar,1
pool,,Reading Comprehension,1
pools,,Reading Comprehension,1
poor,,Vocabulary,1
port,,Vocabulary,1
portability,,IT & Technology,1
portal,,IT & Technology,1
portrayal,,Reading Comprehension,1
position,,IT & Technology,1
possesses,,Reading Comprehension,1
possible,,Grammar,1
possibly,,IT & Technology,1
posts,,IT & Technology,1
potentially,,IT & Technology,1
praise,,Vocabulary,1
pre,,Reading Comprehension,1
precise,,Vocabulary,1
predictions,,Grammar,1
prefer,,Reading Comprehension,1
prefers,,Grammar,1
premium,,Vocabulary,1
prepare,,Reading Comprehension,1
presented,,Grammar,1
pressure,,Grammar,1
pretending,,IT & Technology,1
prior,,Vocabulary,1
privately,,IT & Technology,1
probabilistic,,Reading Comprehension,1
proceeded,,Reading Comprehension,1
processor,,IT & Technology,1
profoundly,,Reading Comprehension,1
prohibited,,IT & Technology,1
prohibitively,,IT & Technology,1
promised,,Vocabulary,1
promising,,Reading Comprehension,1
prompt,,Grammar,1
prompting,,Grammar,1
prone,,Reading Comprehension,1
properly,,Grammar,1
property,,IT & Technology,1
proposal,,Grammar,1
propose,,Reading Comprehension,1
proposed,,Reading Comprehension,1
protected,,IT & Technology,1
protection,,IT & Technology,1
protects,,IT & Technology,1
pseudo,,Grammar,1
purchase,,IT & Technology,1
putting,,Vocabulary,1
quarterly,,Grammar,1
queries,,IT & Technology,1
quick,,IT & Technology,1
quite,,Reading Comprehension,1
rains,,Grammar,1
ran,,Vocabulary,1
random,,IT & Technology,1
rare,,Reading Comprehension,1
rate,,IT & Technology,1
rates,,Reading Comprehension,1
reaction,,Grammar,1
readers,,Reading Comprehension,1
realize,,Grammar,1
realizing,,Grammar,1
reasons,,Grammar,1
recharged,,Vocabulary,1
recipe,,Vocabulary,1
recipient,,IT & Technology,1
recognition,,Reading Comprehension,1
recognize,,Grammar,1
recommend,,Grammar,1
recompiling,,IT & Technology,1
recounting,,Reading Comprehension,1
recover,,Grammar,1
recycle,,IT & Technology,1
redeeming,,Reading Comprehension,1
redirected,,Reading Comprehension,1
redirecting,,Reading Comprehension,1
redistribution,,IT & Technology,1
reduced,,Reading Comprehension,1
redundancy,,IT & Technology,1
referred,,IT & Technology,1
reflects,,IT & Technology,1
refund,,Reading Comprehension,1
refuse,,Grammar,1
reinforces,,Reading Comprehension,1
related,,Reading Comprehension,1
relating,,Vocabulary,1
relation,,IT & Technology,1
relaxed,,Vocabulary,1
relaying,,IT & Technology,1
relevance,,Grammar,1
relies,,Reading Comprehension,1
relying,,IT & Technology,1
remain,,Reading Comprehension,1
remark,,Reading Comprehension,1
remember,,Grammar,1
remembered,,Grammar,1
remembering,,Grammar,1
remotely,,Grammar,1
removed,,Reading Comprehension,1
rendering,,Reading Comprehension,1
renewable,,Vocabulary,1
repeated,,Grammar,1
rerouted,,IT & Technology,1
reset,,Grammar,1
resigned,,Grammar,1
resigns,,Grammar,1
resilience,,IT & Technology,1
resilient,,IT & Technology,1
respond,,IT & Technology,1
responsive,,IT & Technology,1
responsiveness,,IT & Technology,1
restful,,IT & Technology,1
restore,,IT & Technology,1
restricted,,Reading Comprehension,1
restrictive,,Grammar,1
retrieval,,IT & Technology,1
retrieve,,IT & Technology,1
retry,,IT & Technology,1
returned,,Reading Comprehension,1
returns,,IT & Technology,1
reveal,,Reading Comprehension,1
reviews,,IT & Technology,1
revolutions,,Reading Comprehension,1
rice,,Vocabulary,1
ring,,IT & Technology,1
road,,Vocabulary,1
role,,IT & Technology,1
rolled,,IT & Technology,1
rom,,IT & Technology,1
rooms,,Vocabulary,1
root,,Reading Comprehension,1
rootkit,,IT & Technology,1
route,,IT & Technology,1
routers,,Grammar,1
routines,,IT & Technology,1
row,,IT & Technology,1
rows,,IT & Technology,1
saa,,IT & Technology,1
sad,,Vocabulary,1
safari,,IT & Technology,1
safety,,Grammar,1
saga,,IT & Technology,1
sarcasm,,Reading Comprehension,1
sarcastic,,Reading Comprehension,1
saved,,IT & Technology,1
scams,,IT & Technology,1
scanning,,IT & Technology,1
scarf,,Vocabulary,1
scarves,,Vocabulary,1
scheme,,Vocabulary,1
scope,,IT & Technology,1
screens,,IT & Technology,1
secondary,,IT & Technology,1
seconds,,Vocabulary,1
secretly,,IT & Technology,1
sections,,IT & Technology,1
secured,,Grammar,1
seeking,,Reading Comprehension,1
sees,,IT & Technology,1
segregate,,IT & Technology,1
sending,,IT & Technology,1
senior,,IT & Technology,1
sensor,,IT & Technology,1
seriousness,,Reading Comprehension,1
setting,,Reading Comprehension,1
severely,,Reading Comprehension,1
shapes,,Vocabulary,1
shard,,IT & Technology,1
shifts,,Grammar,1
shock,,Grammar,1
shoe,,Vocabulary,1
shortcut,,IT & Technology,1
shortcuts,,IT & Technology,1
shorter,,Grammar,1
shower,,Vocabulary,1
shut,,IT & Technology,1
signal,,IT & Technology,1
signature,,IT & Technology,1
simpler,,Vocabulary,1
sisters,,Grammar,1
sixty,,Vocabulary,1
skepticism,,Reading Comprehension,1
skills,,Grammar,1
sleeker,,Reading Comprehension,1
slower,,Reading Comprehension,1
smarter,,Reading Comprehension,1
snowy,,Vocabulary,1
soccer,,Vocabulary,1
societal,,Reading Comprehension,1
society,,Reading Comprehension,1
sociological,,Reading Comprehension,1
sofa,,Grammar,1
solely,,Reading Comprehension,1
solutions,,Reading Comprehension,1
somehow,,Reading Comprehension,1
sometimes,,Reading Comprehension,1
soon,,Grammar,1
soup,,Reading Comprehension,1
sources,,IT & Technology,1
spaces,,Vocabulary,1
spain,,Grammar,1
spam,,IT & Technology,1
speaking,,Vocabulary,1
specify,,IT & Technology,1
spend,,Grammar,1
spends,,Reading Comprehension,1
sphere,,Vocabulary,1
spikes,,Reading Comprehension,1
spoon,,Vocabulary,1
spreadsheet,,IT & Technology,1
spyware,,IT & Technology,1
square,,Vocabulary,1
ssd,,IT & Technology,1
ssds,,IT & Technology,1
stable,,Reading Comprehension,1
staff,,Grammar,1
stagnate,,Vocabulary,1
stakeholder,,IT & Technology,1
stance,,Reading Comprehension,1
standing,,Reading Comprehension,1
star,,IT & Technology,1
stare,,Grammar,1
startle,,Grammar,1
startups,,Vocabulary,1
static,,IT & Technology,1
steal,,IT & Technology,1
stipulates,,IT & Technology,1
stock,,Grammar,1
stops,,IT & Technology,1
stories,,Reading Comprehension,1
strain,,Grammar,1
strenuous,,Vocabulary,1
strictly,,IT & Technology,1
stripping,,Reading Comprehension,1
stubbornly,,Vocabulary,1
student,,Grammar,1
submission,,Vocabulary,1
submit,,IT & Technology,1
submitted,,IT & Technology,1
success,,Vocabulary,1
succinct,,Vocabulary,1
suddenly,,Grammar,1
sufficient,,IT & Technology,1
sugar,,Vocabulary,1
suitable,,Vocabulary,1
sum,,IT & Technology,1
summary,,IT & Technology,1
summit,,Vocabulary,1
superlative,,Grammar,1
superlatives,,Grammar,1
supplies,,Vocabulary,1
supply,,IT & Technology,1
supported,,Reading Comprehension,1
surpass,,Reading Comprehension,1
surprisingly,,Vocabulary,1
survive,,Reading Comprehension,1
susceptible,,IT & Technology,1
swim,,Grammar,1
switching,,IT & Technology,1
sword,,Vocabulary,1
sync,,IT & Technology,1
syntax,,IT & Technology,1
systemic,,Reading Comprehension,1
tables,,Vocabulary,1
tabular,,IT & Technology,1
taken,,Vocabulary,1
talent,,Reading Comprehension,1
talking,,IT & Technology,1
tangible,,Vocabulary,1
targeted,,IT & Technology,1
targeting,,IT & Technology,1
targets,,Vocabulary,1
tarnished,,Reading Comprehension,1
tcp,,IT & Technology,1
tea,,Grammar,1
teacher,,Vocabulary,1
technically,,IT & Technology,1
tedious,,Vocabulary,1
teller,,Vocabulary,1
tending,,Vocabulary,1
terminate,,IT & Technology,1
termination,,IT & Technology,1
terminology,,IT & Technology,1
terraform,,IT & Technology,1
theoretically,,Reading Comprehension,1
thesis,,Reading Comprehension,1
thinks,,Reading Comprehension,1
thirty,,Vocabulary,1
thoroughly,,IT & Technology,1
thrilled,,Vocabulary,1
throw,,IT & Technology,1
thursday,,Vocabulary,1
tickets,,Vocabulary,1
tiring,,Vocabulary,1
tools,,IT & Technology,1
topic,,Vocabulary,1
touch,,Reading Comprehension,1
track,,IT & Technology,1
train,,Vocabulary,1
transfer,,IT & Technology,1
transformed,,Reading Comprehension,1
transitioning,,IT & Technology,1
triangle,,Vocabulary,1
trigger,,Reading Comprehension,1
trustworthy,,IT & Technology,1
tuple,,IT & Technology,1
twelve,,Vocabulary,1
twos,,Vocabulary,1
umbrellas,,Vocabulary,1
unashamed,,Reading Comprehension,1
unattainable,,Vocabulary,1
uncertain,,Reading Comprehension,1
uncle,,Vocabulary,1
unconditionally,,Reading Comprehension,1
underfitting,,IT & Technology,1
underperforming,,Vocabulary,1
understanding,,Reading Comprehension,1
unforeseen,,Vocabulary,1
unforgiving,,Reading Comprehension,1
unfulfilled,,Grammar,1
uninstall,,IT & Technology,1
unintentional,,Reading Comprehension,1
unit,,IT & Technology,1
universally,,IT & Technology,1
university,,Grammar,1
unknown,,IT & Technology,1
unlawful,,IT & Technology,1
unprecedented,,Reading Comprehension,1
unrefactored,,Reading Comprehension,1
unsaved,,Grammar,1
unseen,,IT & Technology,1
unsound,,Vocabulary,1
unspecified,,Grammar,1
unstable,,Reading Comprehension,1
upgrade,,IT & Technology,1
